cell_index,n,k,mu2,rho,controls,hetero,expected_first_stage_f,estimator,n_reps,n_failed,median_bias,mean_bias,mad,rmse,iqr_sd,coverage,median_ci_width,se_ratio,median_first_stage_f
6,500,20,25.0,0.5,0,True,2.25,UJIVE1,2000,0,-0.028726285591571,-0.1484077864756947,0.2123342060547768,1.0074820058581684,0.3297277813784003,0.9595,1.204138875332832,0.9293647145315752,2.215121611935901
6,500,20,25.0,0.5,0,True,2.25,UJIVE2,2000,0,-0.0281525661116096,-0.1457297995821339,0.2118244954541708,0.9781089164047988,0.3283854468492961,0.9595,1.1976670423937277,0.9281482256091852,2.215121611935901
7,500,20,25.0,0.5,2,True,2.25,OLS,2000,0,0.4237601912600157,0.4255451007134604,0.4237601912600157,0.4275417522610645,0.0415973898556368,0.0,0.1597534468113604,0.9773385574571504,2.20372494435029
7,500,20,25.0,0.5,2,True,2.25,2SLS,2000,0,0.2101305260197539,0.2072532420300059,0.2118136286639709,0.2549695805425342,0.146690902877159,0.6765,0.5665447881635752,0.9828606388080092,2.20372494435029
7,500,20,25.0,0.5,2,True,2.25,JIVE1,2000,0,-0.5687266388445091,-0.611210860009365,0.5687266388445091,0.6838083374705063,0.2763988339596859,0.158,0.8058006555860895,0.7419118123835576,2.20372494435029
7,500,20,25.0,0.5,2,True,2.25,JIVE2,2000,0,-0.5503831861647349,-0.5923058309170901,0.5503831861647349,0.6739708666914409,0.290219947630823,0.234,0.8351599274751538,0.7323239952871458,2.20372494435029
7,500,20,25.0,0.5,2,True,2.25,UJIVE1,2000,0,-0.046327430569888,-0.0300695177232959,0.2405745304812977,3.2025643135454875,0.3782797743893919,0.9665,1.353215911493839,0.910363528187975,2.20372494435029
7,500,20,25.0,0.5,2,True,2.25,UJIVE2,2000,0,-0.0453759639945207,-0.1580940845879538,0.2389418820501339,5.497414493308761,0.3762637283154751,0.965,1.3572454625334274,0.9179666846909174,2.20372494435029
8,500,20,100.0,0.5,0,True,6.0,OLS,2000,0,0.3690506126424112,0.3699970522868018,0.3690506126424112,0.3720718978745138,0.0388818818019169,0.0,0.1515393512855192,0.9918438166775658,5.987764060520151
8,500,20,100.0,0.5,0,True,6.0,2SLS,2000,0,0.0739308867097834,0.0719790033343092,0.0851966726884076,0.1172973480740228,0.0896365605178561,0.849,0.3584400866631723,1.017645536563216,5.987764060520151
8,500,20,100.0,0.5,0,True,6.0,JIVE1,2000,0,-0.1884885191576691,-0.1970898876189759,0.1884885191576691,0.2306316547467673,0.1204304416142654,0.551,0.4046351914133008,0.8550519745267007,5.987764060520151
8,500,20,100.0,0.5,0,True,6.0,JIVE2,2000,0,-0.1507386848647776,-0.1604856086018194,0.1511530070438267,0.203372415722629,0.1266887266914755,0.6995,0.4136580045408096,0.8309379678605173,5.987764060520151
8,500,20,100.0,0.5,0,True,6.0,UJIVE1,2000,0,-0.009526436469314,-0.0152684923489258,0.0790601060951987,0.1245674552337569,0.1193601812343089,0.953,0.4510525539919024,0.9616849484308624,5.987764060520151
8,500,20,100.0,0.5,0,True,6.0,UJIVE2,2000,0,-0.0090838810674498,-0.0152559298746773,0.0803342931287272,0.1241390663038887,0.119000109406645,0.952,0.4497265806527685,0.9617591755664288,5.987764060520151
9,500,20,100.0,0.5,2,True,6.0,OLS,2000,0,0.3702208678741457,0.3708898456345141,0.3702208678741457,0.3728596588657997,0.0361725197240056,0.0,0.1508706488050435,1.0614190350115156,5.937341471225802
9,500,20,100.0,0.5,2,True,6.0,2SLS,2000,0,0.0712484283221961,0.0707531551071528,0.0834187243991063,0.1161337605808335,0.08877464674282,0.867,0.3575317675915404,1.0249119554337445,5.937341471225802
9,500,20,100.0,0.5,2,True,6.0,JIVE1,2000,0,-0.2162753083894306,-0.2278015252498706,0.2162753083894306,0.2585680353659476,0.1163047308634562,0.4425,0.4125729470701867,0.9027432350936744,5.937341471225802
9,500,20,100.0,0.5,2,True,6.0,JIVE2,2000,0,-0.1792245419175689,-0.1896006280163911,0.1792807401374025,0.2287583736137734,0.1219180860336063,0.617,0.4231638202373168,0.8832858414122298,5.937341471225802
9,500,20,100.0,0.5,2,True,6.0,UJIVE1,2000,0,-0.0181398584562754,-0.0286708897048424,0.0793534732090631,0.1313878134742016,0.1177553310637951,0.955,0.4652650413601046,1.0054968637100925,5.937341471225802
9,500,20,100.0,0.5,2,True,6.0,UJIVE2,2000,0,-0.0171957965871469,-0.0287003440219119,0.0788252158091041,0.1308968908418757,0.1180839173274232,0.9555,0.4644529164204192,1.0009486961009182,5.937341471225802
10,500,20,300.0,0.5,0,True,16.0,OLS,2000,0,0.2783128348036153,0.2788221391993574,0.2783128348036153,0.2809885697991244,0.0346169075809133,0.0,0.1335964920299441,0.9821366735124362,15.902018205090863
10,500,20,300.0,0.5,0,True,16.0,2SLS,2000,0,0.028291661734246,0.0269137825109963,0.0437714262552678,0.0633243849157768,0.0566522484021861,0.915,0.2233035543245585,1.0030986067612588,15.902018205090863
10,500,20,300.0,0.5,0,True,16.0,JIVE1,2000,0,-0.071207334029672,-0.0736880431818157,0.0719271839211633,0.0967004649963751,0.0617519543583425,0.787,0.2339926855246009,0.9643101034053676,15.902018205090863
10,500,20,300.0,0.5,0,True,16.0,JIVE2,2000,0,-0.0289909159240443,-0.0314460042988378,0.048770368231318,0.0724579377328169,0.0647810652703238,0.9225,0.2387439122046106,0.937884509659671,15.902018205090863
10,500,20,300.0,0.5,0,True,16.0,UJIVE1,2000,0,-0.0020894542410978,-0.004342445927452,0.0421735315458026,0.0632028212767246,0.0622501732425274,0.948,0.2428840609822046,0.9929413420511728,15.902018205090863
10,500,20,300.0,0.5,0,True,16.0,UJIVE2,2000,0,-0.0022665862043265,-0.0043720286342476,0.0416779321388008,0.063020072376892,0.0620938900793498,0.948,0.2423108617672604,0.993091250836968,15.902018205090863
11,500,20,300.0,0.5,2,True,16.0,OLS,2000,0,0.2774668936435831,0.2774617544784923,0.2774668936435831,0.2796595539961978,0.0350699044255371,0.0,0.1338330620929606,0.9711575891577342,15.9681361135282
11,500,20,300.0,0.5,2,True,16.0,2SLS,2000,0,0.027876057539619,0.0262652160318211,0.0438988150044036,0.0640290514363229,0.0562941700877806,0.909,0.222714134992526,1.0068047045752089,15.9681361135282
11,500,20,300.0,0.5,2,True,16.0,JIVE1,2000,0,-0.0822116627204495,-0.083801957751301,0.0829334561395453,0.1060374131506966,0.0638437037924683,0.7245,0.2342825472791202,0.93386207633275,15.9681361135282
11,500,20,300.0,0.5,2,True,16.0,JIVE2,2000,0,-0.036029725910979,-0.0380877173446414,0.0507459559821081,0.0780289835824344,0.0662915038399442,0.901,0.2394991927264793,0.9194054178418198,15.9681361135282
11,500,20,300.0,0.5,2,True,16.0,UJIVE1,2000,0,-0.0063368301465625,-0.0079897902722258,0.0425027810114454,0.0655153289891003,0.0635717391297539,0.9435,0.2443173964822274,0.9780277449389734,15.9681361135282
11,500,20,300.0,0.5,2,True,16.0,UJIVE2,2000,0,-0.0062101718793887,-0.0080041737971445,0.0424966469970041,0.0653369248876287,0.0634823024700574,0.9435,0.2435262920340622,0.9762342990843348,15.9681361135282
12,500,50,25.0,0.5,0,True,1.5,OLS,2000,0,0.4228578572788316,0.4241917517446258,0.4228578572788316,0.4262462914829856,0.0411070820673001,0.0,0.1606374032261439,0.9944779702703292,1.4842934009974993
12,500,50,25.0,0.5,0,True,1.5,2SLS,2000,0,0.302976620972037,0.3017000259286994,0.302976620972037,0.3218251939166269,0.1118451245925729,0.212,0.4232266487461165,0.962988476064798,1.4842934009974993
12,500,50,25.0,0.5,0,True,1.5,JIVE1,2000,0,-0.7249295374423466,-0.7440743292355323,0.7249295374423466,0.779478381872032,0.2308090431031406,0.002,0.6536458926981359,0.7207005578321076,1.4842934009974993
12,500,50,25.0,0.5,0,True,1.5,JIVE2,2000,0,-0.6930470629428095,-0.7146645501706747,0.6930470629428095,0.7600188824444553,0.2556609661146181,0.019,0.71600580204028,0.7127172298811271,1.4842934009974993
12,500,50,25.0,0.5,0,True,1.5,UJIVE1,2000,0,0.0021879325177942,-1.2519435525581777,0.2850113442297969,50.159280294943045,0.4413279216272533,0.958,1.6000800123987111,0.9226679547998206,1.4842934009974993
12,500,50,25.0,0.5,0,True,1.5,UJIVE2,2000,0,0.0016927895967068,1.6675266711942849,0.2863360692237474,80.9208350414951,0.4430464413510783,0.9565,1.5960279125814365,0.9167615114370972,1.4842934009974993
13,500,50,25.0,0.5,2,True,1.5,OLS,2000,0,0.4222319036942891,0.424008085504749,0.4222319036942891,0.4261546192388122,0.0412884001869708,0.0,0.1603197132852611,0.9881428851361422,1.4672627296754568
13,500,50,25.0,0.5,2,True,1.5,2SLS,2000,0,0.2990186472432118,0.2989685148575943,0.2990186472432118,0.3197282457497641,0.1096340217170961,0.222,0.4201900589860523,0.9753518313641218,1.4672627296754568
13,500,50,25.0,0.5,2,True,1.5,JIVE1,2000,0,-0.7680622719251502,-0.787414087722572,0.7680622719251502,0.8213522597014892,0.2241848108827197,0.002,0.6637867400466062,0.7535000125557972,1.4672627296754568
13,500,50,25.0,0.5,2,True,1.5,JIVE2,2000,0,-0.7421093095015392,-0.7619833864645446,0.7421093095015392,0.8054240270962586,0.249065357569119,0.012,0.730446905195246,0.7463391154349908,1.4672627296754568
13,500,50,25.0,0.5,2,True,1.5,UJIVE1,2000,0,-0.0350334051177556,-0.1663097319158046,0.3219553376879609,11.569424801698933,0.4941610559709308,0.9695,1.832693775991217,0.9438049798749596,1.4672627296754568
13,500,50,25.0,0.5,2,True,1.5,UJIVE2,2000,0,-0.0314857103957488,2.741665203234153,0.3214053362149383,72.5923683557287,0.4886694694750388,0.968,1.826963805022202,0.9514273087937272,1.4672627296754568
14,500,50,100.0,0.5,0,True,3.0,OLS,2000,0,0.3702837776980989,0.3701998257845849,0.3702837776980989,0.3721864895271483,0.039624105858432,0.0,0.1509383853824819,0.9694052488015448,2.9801628029565492
14,500,50,100.0,0.5,0,True,3.0,2SLS,2000,0,0.1461998353063588,0.1458643659015865,0.1461998353063588,0.1658511893260171,0.080538049781093,0.5275,0.305872553922002,0.966505973255326,2.9801628029565492
14,500,50,100.0,0.5,0,True,3.0,JIVE1,2000,0,-0.373636693449099,-0.3851600736412149,0.373636693449099,0.4062982557380524,0.1260456370389183,0.034,0.3920786715172766,0.7916086708355172,2.9801628029565492
14,500,50,100.0,0.5,0,True,3.0,JIVE2,2000,0,-0.3021016250400508,-0.3143076946814471,0.3021016250400508,0.3457083266769027,0.1397477564907854,0.1855,0.4177104904127708,0.7606689342070897,2.9801628029565492
14,500,50,100.0,0.5,0,True,3.0,UJIVE1,2000,0,-0.0108682437291285,-0.0245876944861302,0.0895153940744535,0.1485442023965338,0.1362013787870301,0.953,0.5029548780123607,0.9397507104451094,2.9801628029565492
