cell_index,n,k,mu2,rho,controls,hetero,expected_first_stage_f,estimator,n_reps,n_failed,median_bias,mean_bias,mad,rmse,iqr_sd,coverage,median_ci_width,se_ratio,median_first_stage_f
0,500,5,25.0,0.5,0,False,6.0,OLS,2000,0,0.4778473600269173,0.4766504785787123,0.4778473600269173,0.4781459358393958,0.0380091595817015,0.0,0.1490720223269706,0.998097616044918,5.820985042766331
0,500,5,25.0,0.5,0,False,6.0,2SLS,2000,0,0.0731858151963046,0.0616922365624895,0.1373350402875261,0.2037327253815036,0.1883075379551972,0.908,0.7047275230717185,0.9523984284717736,5.820985042766331
0,500,5,25.0,0.5,0,False,6.0,JIVE1,2000,0,-0.2454098807791556,-0.2905895506801474,0.2481066423215704,0.4526815683300163,0.256275533797341,0.877,0.8222336650521482,0.8164944737408854,5.820985042766331
0,500,5,25.0,0.5,0,False,6.0,JIVE2,2000,0,-0.2349651965010872,-0.2810307459231471,0.2378653275694097,0.4508767805867866,0.2595082585480263,0.8955,0.8289947296122707,0.8129535433488932,5.820985042766331
0,500,5,25.0,0.5,0,False,6.0,UJIVE1,2000,0,-0.0378454133405695,-0.1048185812729042,0.1732875891930724,0.786412594508664,0.2626434016893116,0.9615,0.9325678810457824,0.9036059899510668,5.820985042766331
0,500,5,25.0,0.5,0,False,6.0,UJIVE2,2000,0,-0.0371582183816356,-0.1062112149064773,0.1725489680395808,0.842044773086732,0.2628925085276698,0.9605,0.9329919472533624,0.9031602746689344,5.820985042766331
1,500,5,25.0,0.5,2,False,6.0,OLS,2000,0,0.4773601898081265,0.4773052472402019,0.4773601898081265,0.4788734999429953,0.0382332436492431,0.0,0.1486389429109931,0.9893554250606414,5.772434330122243
1,500,5,25.0,0.5,2,False,6.0,2SLS,2000,0,0.0798354101724431,0.0620202495385429,0.140581106237067,0.2030572038666022,0.1791945562356583,0.906,0.7046447022650876,1.0007054268862237,5.772434330122243
1,500,5,25.0,0.5,2,False,6.0,JIVE1,2000,0,-0.3473247250482447,-0.4073543136833374,0.3473247250482447,0.5290189982290436,0.2840121483506049,0.725,0.8766606718391565,0.7855168092454496,5.772434330122243
1,500,5,25.0,0.5,2,False,6.0,JIVE2,2000,0,-0.3362442511575492,-0.3969608180583754,0.3362442511575492,0.5250272935364174,0.2943100521786933,0.751,0.8882241753015587,0.7680303277701024,5.772434330122243
1,500,5,25.0,0.5,2,False,6.0,UJIVE1,2000,0,-0.0838261691697081,-0.2183709304270869,0.1921396987260823,2.9557161486534183,0.3000481180738462,0.975,1.0582366881948255,0.897537871937091,5.772434330122243
1,500,5,25.0,0.5,2,False,6.0,UJIVE2,2000,0,-0.0865067720403191,-0.5042603551720926,0.1923672902337997,17.781269467773715,0.3047685447845101,0.975,1.0618104398605337,0.8866204122500412,5.772434330122243
2,500,5,100.0,0.5,0,False,21.0,OLS,2000,0,0.4154646043391714,0.4159028570363209,0.4154646043391714,0.417530765527289,0.035080024124032,0.0,0.1418980076444778,1.029393819622428,20.711825607822348
2,500,5,100.0,0.5,0,False,21.0,2SLS,2000,0,0.0176775194246828,0.0131658302559129,0.0678327636656503,0.0994574334278916,0.0966647347008073,0.9485,0.38092123051752,1.0028414066475222,20.711825607822348
2,500,5,100.0,0.5,0,False,21.0,JIVE1,2000,0,-0.0685484374316137,-0.077447253062275,0.0845222250871478,0.1338117489285711,0.1050638763717751,0.909,0.3985815175738981,0.9654479801769013,20.711825607822348
2,500,5,100.0,0.5,0,False,21.0,JIVE2,2000,0,-0.0548525231997668,-0.0645042221603214,0.0792714005427294,0.1281332124873727,0.1064419032839768,0.9245,0.4016293108211629,0.9602358377474942,20.711825607822348
2,500,5,100.0,0.5,0,False,21.0,UJIVE1,2000,0,-0.0115734673525392,-0.0185519213747387,0.0711584575739578,0.1105548746832379,0.1059944108867689,0.9605,0.4104643936065546,0.985502354594834,20.711825607822348
2,500,5,100.0,0.5,0,False,21.0,UJIVE2,2000,0,-0.0119692132208863,-0.0185777269995023,0.0718132999157594,0.1105762043492584,0.1062593254253753,0.961,0.4105511084375233,0.9832530825729212,20.711825607822348
3,500,5,100.0,0.5,2,False,21.0,OLS,2000,0,0.4168034164598704,0.4174388191188724,0.4168034164598704,0.419081233589215,0.0358724969567236,0.0,0.1417816373766542,1.00581765865818,20.665851507158756
3,500,5,100.0,0.5,2,False,21.0,2SLS,2000,0,0.0228577919078319,0.0160314281786839,0.0672442800571963,0.100180028695605,0.0951703005941066,0.941,0.3789831441103348,1.0133963351222637,20.665851507158756
3,500,5,100.0,0.5,2,False,21.0,JIVE1,2000,0,-0.0954000012413726,-0.1051527575670581,0.1020963562504105,0.1548287359996752,0.1068319297659214,0.8725,0.4023353838568327,0.9584027062253376,20.665851507158756
3,500,5,100.0,0.5,2,False,21.0,JIVE2,2000,0,-0.0794445885729761,-0.0891998784696411,0.0916385341710333,0.1459716983538626,0.108371384017714,0.8995,0.4063323461819441,0.9541741615482672,20.665851507158756
3,500,5,100.0,0.5,2,False,21.0,UJIVE1,2000,0,-0.0169838485216529,-0.0271800055282791,0.0717795684598209,0.1167047558951111,0.1076717215299032,0.9575,0.4192756360425401,0.9909662084555714,20.665851507158756
3,500,5,100.0,0.5,2,False,21.0,UJIVE2,2000,0,-0.0175206783476963,-0.027275837032164,0.0716218946146305,0.1166251484002953,0.1076111940830532,0.9565,0.4196491374422757,0.9924068659277656,20.665851507158756
4,500,5,300.0,0.5,0,False,61.0,OLS,2000,0,0.3145630293991888,0.313815298005531,0.3145630293991888,0.3156094252556715,0.0345945504058434,0.0,0.1270592616409984,0.9346817834447002,60.67153784795619
4,500,5,300.0,0.5,0,False,61.0,2SLS,2000,0,0.0078938778594281,0.007764754934977,0.038896143713826,0.0588864246438366,0.0565645587529416,0.938,0.2232275021295785,1.0043115056515126,60.67153784795619
